"articlenumber_value","price","special_price","releasedate","Name","Images","Sizes","Status"
"078260",49.0000,,"2009-08-01 00:00:00","Adissage Slide","078260_f_1.jpg|078260_f_2.jpg|078260_f_3.jpg|078260_f_4.jpg|078260_f_5.jpg|078260_f_6.jpg|078260_f_7.jpg|078260_f_8.jpg","6|7|8|9|10|11|12","Enabled"
"E19300",10.0000,,"2010-07-01 00:00:00"," Milano  Socks ","e19300_21_model_f.jpg|e19300_f.jpg|e19300_23_model_f.jpg|e19300_22_model_f.jpg","3739|4042|4345|2730|3133|3436","Enabled"
"G74916",20.0000,,"2013-07-01 00:00:00","Water Bottle 700ml","g74916_f_1.jpg|g74916_f_b2ccat.jpg|g74916_f_4.jpg|g74916_f_5.jpg|g74916_f_6.jpg","1 Size","Enabled"
"G76792",599.0000,299.0000,"2013-12-01 00:00:00","miCoach SMART RUN","G76792_FR_eCom.Jpg|G76792_FSL_eCom.Jpg|G76792_Sid_eCom.Jpg|G76792_Fin_eCom.Jpg|G76792_B_eCom.Jpg|G76792_D1_eCom.Jpg|G76792_D2_eCom.Jpg|G76792_D3_eCom.Jpg|G76792_Ftp_eCom.Jpg","NS","Enabled"
"E44309",49.0000,,"2008-12-01 00:00:00","Ballnet 12","e44309_f.jpg|e44309_app-f.jpg|e44309_f_torso_b2ccat.jpg|e44309_app-b.jpg","NS","Enabled"
"E19296",10.0000,,"2011-01-01 00:00:00","Men's Milano Socks","e19296_21_model_f.jpg|e19296_fr_b2c1.jpg|e19296_f1.jpg|e19296_23_model_f.jpg|e19296_22_model_f.jpg","4042|4345|3133|3739","Enabled"
"E19298",10.0000,,"2010-06-01 00:00:00","Milano Socks","e19298_21_model_f.jpg|e19298_f.jpg|e19298_23_model_f.jpg|e19298_22_model_f.jpg","4042|4345|3739|2730|3133|3436","Enabled"
"E19301",10.0000,,"2010-04-01 00:00:00","Milano Socks","e19301_21_model_f.jpg|e19301_f.jpg|e19301_f_0.jpg|e19301_f1.jpg|e19301_app-f.jpg|e19301_23_model_f.jpg|e19301_22_model_f.jpg","4042|4345|3739|2730|3133|3436","Enabled"
"G70908",5.0000,,"2013-06-01 00:00:00","Needle Replacement Set","G70908_FR_eCom.jpg|G70908_B_eCom.jpg|G70908_D1_eCom.jpg|G70908_D2_eCom.jpg|G70908_D3_eCom.jpg","NS","Enabled"
"G70910",15.0000,,"2013-06-01 00:00:00","Pump","G70910_FR_eCom.jpg|G70910_D1_eCom.jpg|G70910_D2_eCom.jpg|G70910_D3_eCom.jpg","NS","Enabled"
"D89535",79.0000,39.5000,"2014-02-01 00:00:00","Women's Ultimate Straight Pants","d89535_f_flat_ecom.jpg|d89535_fr_flat_ecom.jpg|d89535_b_flat_ecom.jpg|d89535_d1_flat_ecom.jpg|d89535_d2_flat_ecom.jpg|d89535_d3_flat_ecom.jpg|d89535_f_torso_b2ccat.jpg|d89535_b_torso_b2ccat.jpg","XS/S|S/S|M/S|L/S|XL/S|2XSS|2XLL|S|XS/L|L|SL|ML|2XS|2XL|LL|XL|XLL|XS|3XS|2XSL|M|2XLS","Enabled"
"W63946",9.0000,,"2013-01-01 00:00:00","EC ANKLE 1P","w63946_f.jpg","3538|3942|4346","Enabled"
"W63949",9.0000,,"2013-03-01 00:00:00","EC ANKLE 1P","w63949_f.jpg","3538|3942|4346","Enabled"
"D85726",55.0000,27.5000,"2014-01-01 00:00:00","Men's Response Short Tights","d85726_fr_flat_ecom.jpg|d85726_b_flat_ecom.jpg|d85726_d1_flat_ecom.jpg|d85726_d2_flat_ecom.jpg|d85726_d3_flat_ecom.jpg|d85726_f_torso_b2ccat.jpg|d85726_b_torso_b2ccat.jpg","M|XS|L|XL|S|2XL","Enabled"
"D85498",45.0000,22.5000,"2014-01-01 00:00:00","Women's Response Tee","d85498_fr_flat_ecom.jpg|d85498_b_flat_ecom.jpg|d85498_d1_flat_ecom.jpg|d85498_d2_flat_ecom.jpg|d85498_d3_flat_ecom.jpg|d85498_f_torso_b2ccat.jpg|d85498_b_torso_b2ccat.jpg","L|XL|S|M|XS|2XS","Enabled"
"D84281",15.0000,7.5000,"2014-01-01 00:00:00","TC ENER ANK 1PP","d84281_f.jpg","3739|4345|4042|4648|3436","Enabled"
"D84284",15.0000,7.5000,"2014-01-01 00:00:00","Tc Stro Lin 1pp ","d84284_f.jpg","4345|4042|3739|4648|3436","Enabled"
"D89559",65.0000,45.5000,"2014-02-01 00:00:00","Women's Ultimate Three-Quarter Tights","d89559_fr_flat_ecom.jpg|d89559_b_flat_ecom.jpg|d89559_d1_flat_ecom.jpg|d89559_d2_flat_ecom.jpg|d89559_d3_flat_ecom.jpg|d89559_f_torso_b2ccat.jpg|d89559_b_torso_b2ccat.jpg","M|XL|S|XS|L|2XS","Enabled"
"Z30860",79.0000,,"2013-09-01 00:00:00","Power 2 Backpack LS","z30860_f_b2ccat.jpg","1 Size","Enabled"
"D89370",39.0000,,"2014-03-01 00:00:00","CESS BRA PADDED","d89370_fr_flat_ecom.jpg|d89370_b_flat_ecom.jpg|d89370_d1_flat_ecom.jpg|d89370_d2_flat_ecom.jpg|d89370_d3_flat_ecom.jpg|d89370_2f.jpg|d89370_2b.jpg","L|XL|M|S|XS","Enabled"
"G98330",179.0000,89.5000,"2014-04-01 00:00:00","Crazy Fast 2  Synthetic (2)","g98330_lsl_b2ccat.jpg|g98330_f_b2ccat.jpg|g98330_f_beauty_b2c.jpg|g98330_sl_b2ccat.jpg|g98330_bm_b2ccat.jpg|g98330_tpp_b2ccat.jpg|g98330_bt_b2ccat.jpg","6|7|7.5|8|8.5|9|9.5|10|10.5|11|12","Enabled"
"F32651",189.0000,94.5000,"2014-05-01 00:00:00","Climacool adipure Shoes","f32651_lsl_b2ccat.jpg|f32651_f_b2ccat.jpg|f32651_lsm_b2ccat.jpg|f32651_b_b2ccat.jpg|f32651_bt_b2ccat.jpg","4|4.5|5|5.5|6|6.5|7","Enabled"
"F39525",45.0000,22.5000,"2014-05-01 00:00:00","BRASIL H TEE","f39525_f_b2c.jpg|f39525_b_b2c.jpg","L|XS|M|XL|S","Enabled"
"M37455",55.0000,27.5000,"2014-05-01 00:00:00","Real Madrid Home Shorts","m37455_fr_flat_ecom.jpg|m37455_b_flat_ecom.jpg|m37455_d1_flat_ecom.jpg|m37455_d2_flat_ecom.jpg|m37455_d3_flat_ecom.jpg","L|S|2XL|XL|M|XS|3XL","Enabled"
"X10313",16.0000,,"2014-06-01 00:00:00","adiSock 12","X10313_F_Model_eCom.jpg|X10313_Sid_Model_eCom.jpg|X10313_B_Model_eCom.jpg","3739|4042|4345|3436","Enabled"
"X20990",16.0000,,"2014-06-01 00:00:00","adiSock 12","X20990_F_Model_eCom.jpg|X20990_Sid_Model_eCom.jpg|X20990_B_Model_eCom.jpg","3739|4042|4345|3436","Enabled"
"X20993",16.0000,,"2014-06-01 00:00:00","Adisocks 12","X20993_F_Model_eCom.jpg|X20993_Sid_Model_eCom.jpg|X20993_FR_eCom.jpg|X20993_D1_eCom.jpg|X20993_D2_eCom.jpg|X20993_D3_eCom.jpg|X20993_B_Model_eCom.jpg","3739|4042|4345|3133|3436|4648","Enabled"
